imdbid,title,id,year,rating
3,Pauvre Pierrot,5433,1892,0
132134,"Execution of Mary, Queen of Scots, The",6200,1895,0
14,Tables Turned on the Gardener,5444,1895,0
131,Une nuit terrible,5406,1896,0
12,"Arrival of a Train, The",6199,1896,0
91,"House of the Devil, The",4982,1896,0
223341,La fee aux choux,5445,1896,0
211,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,1898,0
135696,Four Heads Are Better Than One,4978,1898,0
224240,"Temptation of St. Anthony, The",5411,1898,0
230,Cinderella,5914,1899,3
246,A Turn of the Century Illusionist,4994,1899,0
300,"Enchanted Drawing, The",4271,1900,0
377995,Grandma Threading Her Needle,5069,1900,0
306,Hamlet ( Le Duel d&#39;Hamlet),4346,1900,0
313,Let Me Dream Again,5438,1900,0
227438,"Doctor and the Monkey, The",5446,1900,0
230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,1900,0
257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,1900,0
291476,Sherlock Holmes Baffled,1594,1900,0
272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,1900,0
135453,"One-Man Band, The",4993,1900,0
304,Grandma&#39;s Reading Glass,4343,1900,0
359,L&#39;homme a la tete en caoutchouc,4995,1901,0
258104,Reve et realite,5437,1901,0
131934,Bluebeard,5500,1901,0
417,Le voyage dans la lune,1252,1902,0
367177,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,1902,0
229024,Gulliver&#39;s Travels,5431,1902,0
413,Mephistopheles&#39; School of Magic,5443,1902,0
223755,"Monster, The",5064,1903,0
439,"Great Train Robbery, The",1319,1903,0
455,"Music Lover, The",5063,1903,0
189498,"Enchanted Well, The",5683,1903,0
135180,"Infernal Boiling Pot, The",5002,1903,0
135631,"Untamable Whiskers, The",5601,1904,0
499,Le voyage a travers l&#39;impossible,6135,1904,0
135179,"Living Playing Cards, The",5404,1904,0
215664,"Cook in Trouble, The",5224,1904,0
135690,"Scheming Gambler&#39;s Paradise, The",5003,1905,0
215575,"Black Imp, The",5602,1905,0
1260944,"Consequence of Feminism, The",7215,1906,0
574,"Story of the Kelly Gang, The",1349,1906,1
135122,"Hilarious Posters, The",5603,1906,0
567,"400 Tricks of the Devil, The",5684,1906,0
216016,"Mysterious Retort, The",5024,1906,0
449172,A Funny Shave,6206,1906,0
554,Humorous Phases of Funny Faces,5435,1906,0
215737,"Eclipse: Courtship of the Sun and Moon, The",5223,1907,0
215817,Good Glue Sticks,5615,1907,0
1802750,Unusual Cooking,6231,1908,0
1009,"Princess Nicotine; or, The Smoke Fairy",4409,1909,2
277596,Le barometre de la fidelite,6211,1909,1
127948,"Devilish Tenant, The",5635,1909,0
486978,Mobilier fidele,4983,1910,0
1515725,A Trip to Mars,5685,1910,0
232821,Tilly the Tomboy Visits the Poor,1464,1910,3
2101,Cleopatra,2003,1912,2
2281,"Invaders, The",2005,1912,0
277865,Max and the Donkey,5357,1912,0
3512,"Voyage of the Bourrichon Family, The",5364,1913,0
3424,Suspense,5915,1913,0
3973,A Florida Enchantment,4457,1914,2
4972,"Birth of a Nation, The",1258,1915,2
